,text,category,cleaned_text
1024,I'm worried my card might be lost in the mail? How long does it usually take to arrive?,card_delivery_estimate,im worried card might lost mail long usually take arrive
9405,I got charged a fee that shouldn't be there from my cash,cash_withdrawal_charge,got charged fee shouldnt cash
9368,Do you charge for making a withdrawal? I took some money out of my account earlier and I was charged for this.,cash_withdrawal_charge,charge making withdrawal took money account earlier charged
3414,Is there an issue with my account?  I don't see a cheque deposit that I made yesterday.  Please assist.,balance_not_updated_after_cheque_or_cash_deposit,issue account dont see cheque deposit made yesterday please assist
7402,Are there ways for other people to send me money?,receiving_money,way people send money
7339,How can I receive money?,receiving_money,receive money
3662,where can I change my address?,edit_personal_details,change address
7,What do I do if I still have not received my new card?,card_arrival,still received new card
3096,Is there anywhere I can't use my card?,card_acceptance,anywhere cant use card
890,I want to have multiple currencies in my account if possible.,fiat_currency_support,want multiple currency account possible
5085,Why wouldn't the ATM give me cash?,declined_cash_withdrawal,wouldnt atm give cash
9928,Do you do business in the EU?,country_support,business eu
4302,"Can I add other people to my account, so they can top up?",topping_up_by_card,add people account top
8277,I'm unhappy with the exchange rate your cash transactions.,wrong_exchange_rate_for_cash_withdrawal,im unhappy exchange rate cash transaction
5714,Transaction refund missing from my statement.,Refund_not_showing_up,transaction refund missing statement
3070,Please let me know how to place an order for a virtual card,getting_virtual_card,please let know place order virtual card
9457,What's going on? I was just recently charged for an ATM withdrawal. I've never seen this charge before and before it's always been free.,cash_withdrawal_charge,whats going recently charged atm withdrawal ive never seen charge always free
4146,Do I have to pick a creditcard brand?,visa_or_mastercard,pick creditcard brand
8777,How long do I have to wait until the transferred money shows up?,balance_not_updated_after_bank_transfer,long wait transferred money show
1174,What is the limit on Auto top?,automatic_top_up,limit auto top
4181,Will I get Visa or MasterCard?,visa_or_mastercard,get visa mastercard
1599,What are the age requirements for service?,age_limit,age requirement service
5765,I contacted the seller and he won't respond.  Please just refund me my  money.,Refund_not_showing_up,contacted seller wont respond please refund money
7269,I need to know how much it costs to transfer funds.,transfer_fee_charged,need know much cost transfer fund
1309,My card doesn't seem to work.,card_not_working,card doesnt seem work
5327,I have lost my phone.,lost_or_stolen_phone,lost phone
6541,How can I find the source for my available funds and money?,verify_source_of_funds,find source available fund money
9517,"I am overseas in China, can I get a replacement card?",card_about_to_expire,overseas china get replacement card
7765,What's up with verifying top-ups?,verify_top_up,whats verifying topups
3155,"My top up did not show up as shown and my money has disappeared, can you help me fix this glitch problem?",top_up_reverted,top show shown money disappeared help fix glitch problem
7733,Where do I find my code to verify my top-up card?,verify_top_up,find code verify topup card
2056,Problem with my top up going through,pending_top_up,problem top going
926,I need to know which fiat currencies I can use with you.,fiat_currency_support,need know fiat currency use
4280,How do I transfer funds directly from my credit card?,topping_up_by_card,transfer fund directly credit card
8638,How can I fix my bank transfer to show up on my bank account?,balance_not_updated_after_bank_transfer,fix bank transfer show bank account
8576,Can you tell me why my credit card was declined while trying to top-up?,top_up_failed,tell credit card declined trying topup
7791,Why do I need top-up to be verified?,verify_top_up,need topup verified
2536,What is the extra fee that showed up on my card?,card_payment_fee_charged,extra fee showed card
4549,Which ATM's can I use to make a withdrawal?,atm_support,atm use make withdrawal
774,Do you know when the withdrawal will show?,pending_cash_withdrawal,know withdrawal show
7273,"I have used my account abroad for a while without any fees, why am I being charged additional fees all of a sudden?",transfer_fee_charged,used account abroad without fee charged additional fee sudden
5248,There is a payment that i made that i noticed has not gone thru yet. Can i ask why?,pending_card_payment,payment made noticed gone thru yet ask
1317,How do I check security settings using the app?,card_not_working,check security setting using app
2190,"I paid my rent into the wrong account, could you please pay it into the right account, it needs to be done by tomorrow.",cancel_transfer,paid rent wrong account could please pay right account need done tomorrow
9931,What are the countries you have offices in?,country_support,country office
7997,Do you accept cheques for top-up?,top_up_by_cash_or_cheque,accept cheque topup
7932,Is it possible to give a second card from my account to my daughter?,getting_spare_card,possible give second card account daughter
4206,Can I get a Visa instead of a MasterCard?,visa_or_mastercard,get visa instead mastercard
8296,Can I make a withdraw in my home currency at an ATM? I'm on vacation and am a bit worried because I don't have cash with me. Is it possible to withdraw here without any additional costs or fees?,wrong_exchange_rate_for_cash_withdrawal,make withdraw home currency atm im vacation bit worried dont cash possible withdraw without additional cost fee
5387,Can I cancel an order if I haven't received the item yet? And how can I get my money back? Please help. Thanks.,request_refund,cancel order havent received item yet get money back please help thanks
4696,I see a direct debit that isn't mine? How can I get my money back?,direct_debit_payment_not_recognised,see direct debit isnt mine get money back
4438,I have a disposable virtual card. Is there a limit to how many times I can use it?,disposable_card_limits,disposable virtual card limit many time use
8068,Where are your cards delivered to?,order_physical_card,card delivered
